Planting,State,ID,Share Code,Source,Type,Store Name,Store Brand,Farmer,Farm Practices,Variety,Quality in field,Damage,Quality in lab,Color,Size cm,Brix,Dry Mass % (x 100),Polyphenols,Antioxidants,"Crop, Sodium (noisy)","Crop, Magnesium (noisy)","Crop, Aluminum","Crop, Silicon","Crop, Phosphorous","Crop, Sulfur","Crop, Chlorine","Crop, Potassium","Crop, Calcium","Crop, Manganese","Crop, Iron","Crop, Nickel","Crop, Copper","Crop, Zinc","Crop, Arsenic","Crop, Selenium","Crop, Molybdenum","Crop, Lead",Soil 0-10cm Organic Matter %,Soil 0-10cm Total Organic Carbon %,Soil 0-10cm pH,Soil 0-10cm Soil Respiration,"Soil 0-10cm, Sodium (noisy)","Soil 0-10cm, Magnesium (noisy)","Soil 0-10cm, Aluminum","Soil 0-10cm, Silicon %","Soil 0-10cm, Phosphorous","Soil 0-10cm, Sulfur","Soil 0-10cm, Potassium","Soil 0-10cm, Calcium","Soil 0-10cm, Titanium","Soil 0-10cm, Vanadium","Soil 0-10cm, Chromium","Soil 0-10cm, Manganese","Soil 0-10cm, Iron","Soil 0-10cm, Nickel","Soil 0-10cm, Copper","Soil 0-10cm, Zinc","Soil 0-10cm, Arsenic","Soil 0-10cm, Selenium","Soil 0-10cm, Rubidium","Soil 0-10cm, Strontium","Soil 0-10cm, Molybdenum","Soil 0-10cm, Lead",Soil 10-20cm Organic Matter %,Soil 10-20cm Total Organic Carbon %,Soil 10-20cm pH,Soil 10-20cm Soil Respiration,"Soil 10-20cm, Sodium (noisy)","Soil 10-20cm, Magnesium (noisy)","Soil 10-20cm, Aluminum","Soil 10-20cm, Silicon %","Soil 10-20cm, Phosphorous","Soil 10-20cm, Sulfur","Soil 10-20cm, Potassium","Soil 10-20cm, Calcium","Soil 10-20cm, Titanium","Soil 10-20cm, Vanadium","Soil 10-20cm, Chromium","Soil 10-20cm, Manganese","Soil 10-20cm, Iron","Soil 10-20cm, Nickel","Soil 10-20cm, Copper","Soil 10-20cm, Zinc","Soil 10-20cm, Arsenic","Soil 10-20cm, Selenium","Soil 10-20cm, Rubidium","Soil 10-20cm, Strontium","Soil 10-20cm, Molybdenum","Soil 10-20cm, Lead",Shipping time hrs,Processing time hrs,Total time hrs,Maturity days,Sweetness (0-5 scale),Flavor (0-5 scale),Overall Taste (0-5 scale)
,michigan,3238,0,store,cherry_tomato,meijer,sunset,,none,,none,,yes,red,27,,0.076,21.48,992.62,7.40,9.18,0.21,2.06,19.75,3.73,28.76,207.74,12.83,0.24,0.31,0.03,0.02,0.19,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3239,0,store,cherry_tomato,meijer,sunset,,none,,,,yes,red,23,,0.072,22.87,858.19,,,,,,,,,,,,,,,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3240,0,store,cherry_tomato,meijer,sunset,,none,,,,yes,red,25,,0.076,21.63,969.36,,,,,,,,,,,,,,,0.00,0.01,0.01,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3241,0,store,grape,meijer,,,none,,none,,yes,red,20,,0.197,20.64,938.16,,,,,,,,,,,,,,,0.00,0.02,-0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3242,0,store,grape,meijer,,,none,,,,yes,red,20,,0.197,27.7,1038.19,,,,,,,,,,,,,,,0.00,0.02,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3243,0,store,grape,meijer,,,none,,,,yes,red,21,,,,,,,,,,,,,,,,,,,0.00,0.02,-0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3244,0,store,lettuce,meijer,andy_boy,,none,,none,,yes,green,,,0.066,10.77,387.45,,,,,,,,,,,,,,,0.00,0.01,-0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3245,0,store,lettuce,meijer,andy_boy,,none,,,,yes,green,,,,26.93,794.75,11.20,15.55,0.22,1.96,21.16,12.93,34.42,193.32,35.54,0.33,0.91,0.04,0.02,0.17,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3246,0,store,lettuce,meijer,andy_boy,,none,,,,yes,green,,,0.055,9.56,256.35,8.85,30.52,0.26,1.72,41.89,21.48,48.79,187.83,30.73,0.21,0.44,0.02,0.03,0.13,0.00,0.01,-0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3247,0,store,spinach,meijer,,,certified_organic,,none,,yes,green,,,0.072,59.95,1270.15,,,,,,,,,,,,,,,0.00,0.03,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3248,0,store,spinach,meijer,,,certified_organic,,,,yes,green,,,0.071,77.34,33.38,,,,,,,,,,,,,,,0.00,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3249,0,store,spinach,meijer,,,certified_organic,,,,yes,green,,,0.082,53.9,27.59,,,,,,,,,,,,,,,0.00,0.02,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
